TF,median_LPS,median_NS,effect,U,p,FDR,sig
ZNF467,0.5692546903975662,12.357050127275206,-11.78779543687764,400.0,5.985139084165438e-36,1.3905770906991342e-35,***
HSF1,5.930497320389225,7.4744557941762135,-1.5439584737869883,410.0,7.579509295581643e-36,1.7522924955626868e-35,***
CEBPB,10.604325094828912,2.543665712740596,8.060659382088316,13728.0,8.731890106292967e-36,2.0087648668171505e-35,***
CENPB,4.8921726515681385,6.538387998513603,-1.6462153469454641,427.0,1.1315037770686165e-35,2.590256195544333e-35,***
ZNF318,-0.4956367884311112,-0.0910771012645993,-0.4045596871665119,429.0,1.1860403988348009e-35,2.701857884174888e-35,***
KLF5,3.4475766947109303,0.5673837584189176,2.880192936292013,13710.0,1.3340790925921665e-35,3.0243443506822416e-35,***
ZNF117,1.7489609603183913,2.727339284781173,-0.9783783244627817,438.0,1.465615014971012e-35,3.3064841159007856e-35,***
ZNF410,0.09203648349188324,-4.244520735096335,4.336557218588219,13677.0,2.893148771641558e-35,6.495675367099075e-35,***
STAT2,10.588261736439842,2.7907760387765257,7.797485697663316,13665.0,3.8301092634888256e-35,8.558186727508525e-35,***
ETV7,10.743975064596942,1.6012712660107338,9.142703798586208,13659.0,4.406048984352128e-35,9.798213693773542e-35,***
IRF5,1.222869952931359,2.715046330049878,-1.4921763771185192,488.0,4.725501332809501e-35,1.0458811006739512e-34,***
ZBTB7B,4.116083722349323,11.116907471660575,-7.000823749311252,495.0,5.56320047761741e-35,1.2254785957770428e-34,***
ZNF865,3.859023846220625,4.805866578148537,-0.9468427319279118,500.0,6.250365790053606e-35,1.3703853633591708e-34,***
ZBTB43,2.450497343140093,0.8841297758683289,1.5663675672717643,13640.0,6.860293044474967e-35,1.4970826410139297e-34,***
RXRA,5.05126352894986,10.496027873593619,-5.444764344643758,522.0,1.042340032815373e-34,2.264059513138508e-34,***
ZBTB47,4.547297040008621,9.940086871608099,-5.392789831599478,555.0,2.2376222756924946e-34,4.837822234946273e-34,***
ZNF428,2.856702667890069,4.740854839137516,-1.8841521712474467,560.0,2.511376124467358e-34,5.404666590443577e-34,***
BCL11A,0.07417752927320345,-1.394610989808928,1.4687885190821315,13570.0,3.467845067754918e-34,7.428824067163058e-34,***
TBX6,1.9974484708177578,4.291371828662824,-2.293923357845067,575.0,3.5486148029731247e-34,7.5671375022303624e-34,***
PRR12,3.0276080238804006,5.84922255943168,-2.821614535551279,589.0,4.896522969710836e-34,1.039398284934073e-33,***
TFAP4,0.8379093916635304,4.016335747556183,-3.1784263558926527,592.0,5.245808180859475e-34,1.1085033576748301e-33,***
SP140,3.5363666850554183,1.0034668073852537,2.5328998776701646,13544.0,6.302959732205304e-34,1.3258928806035483e-33,***
RBCK1,8.482420853994094,3.059896148867087,5.422524705127008,13512.0,1.3106928944432617e-33,2.7448142677354404e-33,***
ZFP3,-1.357190240981301,-0.4838132726523323,-0.8733769683289687,638.0,1.5029503137814615e-33,3.1333830202497436e-33,***
USF2,1.1269276246934878,1.739626985430786,-0.6126993607372981,641.0,1.6093331554578953e-33,3.340260371550387e-33,***
ZXDC,1.3009972220264163,1.6412729251570306,-0.3402757031306143,645.0,1.762895121445478e-33,3.642796556261231e-33,***
ZBTB46,4.220655825315603,6.648338267288709,-2.427682441973106,657.0,2.3164462368494406e-33,4.7655523903466465e-33,***
KDM5B,1.404924997534187,1.0763646038579933,0.32856039367619383,13479.0,2.7782067199185602e-33,5.690449728955998e-33,***
NFIC,7.637513068784863,10.169747806244306,-2.5322347374594427,677.0,3.647504276201861e-33,7.438360248848338e-33,***
ZBTB44,-0.8674963199188557,1.0295391425687552,-1.897035462487611,698.0,5.866435216500487e-33,1.1911414113503163e-32,***
